Иконка,Название,Тип урона,Тип оружия и рама,Ролл в PvE,,Ролл в PvP,
,Всевидящее око,,Скорострельная снайперская винтовка,-,,-,
,,,,,,,
СКЛЕП ГЛУБОКОГО КАМНЯ,,,,,,,
,Опекун,,Скорострельная винтовка разведчика,"Излишки
Быстрый удар",Раскаленность,"Излишки 
Восстановление","Рубака
Сосредоточенная ярость"
,Родословная,,Агрессивная снайперская винтовка,"Восстановление
Диверсант","Линия огня
Рекомбинация 
Сосредоточенная ярость","Движущаяся цель
Устойчивая изготовка","Быстрый прицел
Размеренное дыхание"
,Наследие,,Точечный дробовик,"Восстановление
Кобура с автоподзарядом
Диверсант","Рекомбинация 
Сосредоточенная ярость","Эргономичная рукоятка 
Датчик угроз
Стрельба в скольжении","Навскидку
Движущаяся цель
Быстрый прицел"
,Преемник,,Точный револьвер,Электрозаряд,"Безумие
Полоса удач",Убийственный вихрь,Полоса удач
,Утрата,,Адаптивный пулемет,"Восстановление
С четвертого раза получится
Жизнеобеспечение","Смертельная серия
Усиленные резервы
Сосредоточенная ярость",Излишки,"Под давлением
Усиленные резервы"
,Завещание,,Адаптивный меч,Град ударов,В окружении,-,
,,,,,,,
ХРУСТАЛЬНЫЙ ЧЕРТОГ,,,,,,,
,Вершитель рока,,Адаптивный револьвер,Фугасный снаряд,"Светлячок
Безумие
Жажда адреналина",Фугасный снаряд,"Глаз бури
Первый выстрел
Киллерский магазин"
,Видение Слияния,,Точная винтовка разведчика,-,,"Постижение дзен
Излишки","Киллерский магазин
Дестабилизатор"
,Месть Прейдита,,Скорострельная снайперская винтовка,Запас патронов,Безумие,"Движущаяся цель
Быстрое извлечение",Первый выстрел
,Признанный вердикт,,Агрессивный дробовик,-,,"Излишки
Стрельба в скольжении
Кобура с автоподзарядом",Первый выстрел
,Исправительная мера,,Адаптивный пулемет,Диверсант,"Жажда адреналина
Светлячок","Компенсатор раскачки
Излишки","Палец на спуске
Усиленные резервы"
,Месть Хезен,,Агрессивная ракетная установка,"Переполнение
Кобура с автоподзарядом","На долгую память
Стрижающее оружие",Модуль слежения,Кассетная бомба
,,,,,,,
КЛЯТВА ПОСЛУШНИКА,,,,,,,
,Избавление,,Точная плазменная винтовка,Диверсант,"Леденящее попадание 
Жажда адреналина 
Успешный прогрев","Разогрев
Вечное движение
","Успешный прогрев
Палец на спуске"
,Подчинение,,Облегченный пистолет-пулемет,"Жизнеобеспечение
Переполнение","Безумие
Диверсант
Рубака","На бис
Вечное движение","Убийственный вихрь
Гармония"
,Погибель Лубры,,Адаптивная глефа,"Мародер
Неподвижный объект","Рубака
Неодолимая сила
В окружении",-,
,Выдержка,,Волновой гранатомет,"Честолюбивый ассасин
Неумолимость",Цепная реакция,-,
,Коварство,,Агрессивная импульсная винтовка,"Стрекоза
Диверсант
Быстрый удар","Один за всех
Полоса удач
Адаптивные боеприпасы","Быстрый удар
Разогрев",Полоса удач
,Катаклизм,,Точная линейно-плазменная винтовка,С четвертого раза получится,Смертоносная приманка,-,
,,,,,,,
ГИБЕЛЬ КОРОЛЯ,,,,,,,
,Рок Челчиса,,Точная винтовка разведчика,"Светлячок
Фугасный снаряд
Стрижающее оружие","Стрекоза
Один за всех
Безумие","Светлячок
Фугасный снаряд","Стрекоза
Сосредоточенная ярость"
,Кара Мерейна,,Адаптивная импульсная винтовка,"Диверсант
Кулачный бой","Жажда адреналина
Рубака
Светлячок",Движущаяся цель,"Жажда адреналина
Глаз бури"
,Бич Заули,,Адаптивный револьвер,Фугасный снаряд,"Раскаленность
Светлячок","Фугасный снаряд
Первый выстрел",Глаз бури
,Суд Миды,,Усиленная плазменная винтовка,-,,"Запасной план
","Успешный прогрев
Стартовый импульс"
,Неповиновение Ясмин,,Адаптивная снайперская винтовка,"Золотой свинец
Ансамбль",Линия огня,Быстрый прицел,Первый выстрел
,Предел Каллима,,Усиленный пулемет,"Неумолимость
Характеристики для всех","Надгробие
Светлячок
Смертельная серия","Компенсатор раскачки
Устойчивая изготовка",Смертельная серия
,,,,,,,
ИСТОЧНИК КОШМАРОВ,,,,,,,
,Ярость Руфуса,,Скорострельный автомат,"Диверсант
Кулачный бой
Запас патронов","Детеныш 
Внепричинная совместимость
Захват цели","Вечное движение
Движущаяся цель","Внепричинная совместимость
Палец на спуске
Захват цели"
,Благоговение Микела,,Скорострельный пистолет,"Запас патронов
Кулачный бой","Внепричинная совместимость
Детеныш
Рубака","Вечное движение
Стихийный конденсатор
Запас патронов","Рубака
Палец на спуске"
,Жертвоприношение Нессы,,Точечный дробовик,"С четвертого раза получится
Завистливый ассасин
Стрекоза","Сосредоточенная ярость
Стрижающее оружие
Дестабилизирующие патроны","Диверсант
Восстановление",Первый выстрел
,Отторжение Акасии,,Адаптивная лучевая винтовка,"Запас патронов
Завистливый ассасин
Восстановление","Раскаленность
Захват цели
Внепричинная совместимость",-,
,Тревога Кораксиса,,Скорострельный гранатомет,-,,-,
,Презрение Шипа,,Адаптивная линейно-плазменная винтовка,"Восстановление
Диверсант","В окружении
Внепричинная совместимость",-,
,,,,,,,
КРАХ КРОТЫ,,,,,,,
,Клык Ир Ют,,Скорострельная винтовка разведчика,"Излишки
Стреляй-подбирай","Детеныш
Логика меча
Точный инструмент","Излишки
Быстрый удар","Точный инструмент
Логика меча"
,Гроза клинков,,Облегченный дробовик,"Диверсант
Кулачный бой
Жизнеобеспечение","Двойной удар
Логика меча
В окружении","Датчик угроз
Стрельба в скольжении",Первый выстрел
,Слово Кроты,,Точный револьвер,"Диверсант
Отталкивающая связь
Стрекоза","Дестабилизирующие патроны
Полоса удач 
Логика меча",Убийственный вихрь,Логика меча
,Непокорная бездна,,Усиленный автомат,"Исцеляющий магазин
Кулачный бой","Раскаленность
Логика меча","Постижение дзен
Исцеляющий магазин","Киллерский магазин
Логика меча"
,Указ Сверхдуши,,Скорострельная импульсная винтовка,"Диверсант
Не подходить
Вечное движение","Электрозаряд
Логика меча","Не подходить
На бис","Головорез
Логика меча"
,Песнь Ир Ют,,Адаптивный пулемет,"Диверсант
Запас патронов
Восстановление","Логика меча
Захват цели
Смертоносная приманка","Не подходить
Постижение дзен","Стихийный конденсатор
Логика меча"
,,,,,,,
ГРАНЬ СПАСЕНИЯ,,,,,,,
,Критическая аномалия,,Агрессивная снайперская винтовка,"Восстановление
Запас патронов
Леденящее попадание","Смертоносная приманка
Линия огня
Новая форма хаоса","Первый выстрел
Быстрое извлечение",Быстрый прицел
,Неминуемость,,Облегченный пистолет-пулемет,"Диверсант
Разрезание
Просветленное действие","Новая форма хаоса
Детеныш
Светлячок","Хрупкая концентрация
Компенсатор раскачки
Вечное движение","Киллерский магазин
Захват цели"
,Ожидание развязки,,Точный лук,"Стрекоза
Реакция лучника
Стреляй-подбирай","Электрозаряд
Гамбит лучника
Взрывной наконечник","Реакция лучника
Эргономичная рукоятка
Первый выстрел","Гамбит лучника
Движущаяся цель"
,Грядущая девиация,,Скорострельная глефа,"Мародер
Дестабилизатор
Восстановление","Переход в рукопашную
Новая форма хаоса
Неодолимая сила","Усилитель импульса
Дестабилизатор",Неодолимая сила
,Аннулирование,,Мощная импульсная винтовка,"Исцеляющий магазин
Диверсант
Светлячок","Раскаленность
Новая форма хаоса
Отчаянные меры","Быстрый удар
Исцеляющий магазин","Магазин для множественных убийств
Отчаянные меры"
,Суммум бонум,,Волновой меч,"Град ударов
Транс дуэлянта","Цепная реакция
В окружении
Смертоносная приманка",,
